username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
MUT3MA5;2019-01-03 21:21;0;1;"4 goals fulltime 2 goals first half. Man City 2:2 Liver";;;;"1080906940396400640";https://twitter.com/MUT3MA5/status/1080906940396400640
obreezy95;2019-01-03 20:57;0;0;"4 goals total ,two goals first half and 2 goals second half";;;;"1080901022275518464";https://twitter.com/obreezy95/status/1080901022275518464
TinasheMadzana;2019-01-03 20:52;0;0;"Mancity 2 Liverpool 1";;;;"1080899684359725057";https://twitter.com/TinasheMadzana/status/1080899684359725057
dube_basil;2019-01-03 20:42;0;0;"5 goals";;;;"1080897131697844224";https://twitter.com/dube_basil/status/1080897131697844224
lovemorenjanhi;2019-01-03 20:36;0;0;"6";;;;"1080895575682437121";https://twitter.com/lovemorenjanhi/status/1080895575682437121
KSarupiya;2019-01-03 20:29;0;0;"5 goals total 3 goals to Liver";;;;"1080894053896650753";https://twitter.com/KSarupiya/status/1080894053896650753
munyacornita;2019-01-03 20:19;0;0;"Man City 2-1 Liverpool Thats the correct score line ....1st defeat for liverpool";;;;"1080891391289577472";https://twitter.com/munyacornita/status/1080891391289577472
nelson_chifamba;2019-01-03 20:11;0;0;"5 goals, 2nd half";;;;"1080889414623158272";https://twitter.com/nelson_chifamba/status/1080889414623158272
Grapevineady;2019-01-03 20:07;0;0;"Total goals 5 highest scoring half first half";;;;"1080888488348782593";https://twitter.com/Grapevineady/status/1080888488348782593
Vimbai86;2019-01-03 20:07;0;0;"5";;;;"1080888461471694850";https://twitter.com/Vimbai86/status/1080888461471694850
yvnmafiri;2019-01-03 20:07;0;0;"Liverpool 2....Man City 0";;;;"1080888361517228033";https://twitter.com/yvnmafiri/status/1080888361517228033
stanfanie;2019-01-03 19:46;0;0;"Total scores will 4";;;;"1080883052115648513";https://twitter.com/stanfanie/status/1080883052115648513
Remie_Mhofu;2019-01-03 19:44;0;0;"2nd half to witness more goals Man City -2 Liverpool-3#PartnerInSports";;;#PartnerInSports;"1080882603962580997";https://twitter.com/Remie_Mhofu/status/1080882603962580997
MarthaGeey;2019-01-03 19:35;0;1;"3 more goals in the second half";;;;"1080880301591662592";https://twitter.com/MarthaGeey/status/1080880301591662592
bunzyk;2019-01-03 19:31;0;2;"City 3 liver 0...half time city 2 liver 0";;;;"1080879240365723649";https://twitter.com/bunzyk/status/1080879240365723649
prozhumo;2019-01-03 19:20;0;1;"ManCity-2 Liverpool 1 all scores in the second half";;;;"1080876563317641217";https://twitter.com/prozhumo/status/1080876563317641217
iniroms;2019-01-03 19:09;0;1;"4 Goals , second half";;;;"1080873780552105985";https://twitter.com/iniroms/status/1080873780552105985
KrisTop96104024;2019-01-03 19:05;0;0;"Liverpool 3 -City 0";;;;"1080872744127025152";https://twitter.com/KrisTop96104024/status/1080872744127025152
ShoraiRungwende;2019-01-03 19:04;0;0;"2 all, first half most scoring half";;;;"1080872459228889089";https://twitter.com/ShoraiRungwende/status/1080872459228889089
RonnieZiko;2019-01-03 18:58;0;0;"Liverpool 3-Man City 2 3 goals 1st half";;;;"1080871061649010688";https://twitter.com/RonnieZiko/status/1080871061649010688
SNhongo;2019-01-03 18:53;0;1;"Liverpool 2- man city 1";;;;"1080869743115018243";https://twitter.com/SNhongo/status/1080869743115018243
TondeMapfunde;2019-01-03 18:50;0;1;"0 goals";;;;"1080868910587699200";https://twitter.com/TondeMapfunde/status/1080868910587699200
